"","unit","airpol","geo","time","values"
"93","MIO_T","CO2","SE",2019-01-01,43.58097
"94","MIO_T","CO2","SI",2019-01-01,14.08314
"95","MIO_T","CO2","SK",2019-01-01,34.00436
"96","MIO_T","CO2","UK",2019-01-01,403.076
"97","MIO_T","GHG","AT",2019-01-01,82.77329
"98","MIO_T","GHG","BE",2019-01-01,121.86997
"99","MIO_T","GHG","BG",2019-01-01,56.68936
"100","MIO_T","GHG","CY",2019-01-01,9.88541
"101","MIO_T","GHG","CZ",2019-01-01,124.57391
"102","MIO_T","GHG","DE",2019-01-01,839.71539
"103","MIO_T","GHG","DK",2019-01-01,47.3699
"104","MIO_T","GHG","EE",2019-01-01,14.91125
"105","MIO_T","GHG","EL",2019-01-01,89.6535
"106","MIO_T","GHG","ES",2019-01-01,333.66954
"107","MIO_T","GHG","EU27_2020",2019-01-01,3742.64085
"108","MIO_T","GHG","EU28",2019-01-01,4228.79483
"109","MIO_T","GHG","EU28_IS_K",2019-01-01,4237.65138
"110","MIO_T","GHG","FI",2019-01-01,55.6679
"111","MIO_T","GHG","FR",2019-01-01,454.84239
"112","MIO_T","GHG","HR",2019-01-01,24.21597
"113","MIO_T","GHG","HU",2019-01-01,65.29082
"114","MIO_T","GHG","IE",2019-01-01,63.12497
"115","MIO_T","GHG","IS",2019-01-01,5.68686
"116","MIO_T","GHG","IT",2019-01-01,430.77846
"117","MIO_T","GHG","LT",2019-01-01,20.74095
"118","MIO_T","GHG","LU",2019-01-01,12.5568
"119","MIO_T","GHG","LV",2019-01-01,11.63159
"120","MIO_T","GHG","MT",2019-01-01,2.69321
"121","MIO_T","GHG","NL",2019-01-01,192.73117
"122","MIO_T","GHG","PL",2019-01-01,393.96633
"123","MIO_T","GHG","PT",2019-01-01,68.03251
"124","MIO_T","GHG","RO",2019-01-01,114.33193
"125","MIO_T","GHG","SE",2019-01-01,53.6002
"126","MIO_T","GHG","SI",2019-01-01,17.14335
"127","MIO_T","GHG","SK",2019-01-01,40.18079
"128","MIO_T","GHG","UK",2019-01-01,486.15398
"129","MIO_T","HFC_CO2E","AT",2019-01-01,1.75026
"130","MIO_T","HFC_CO2E","BE",2019-01-01,3.89339
"131","MIO_T","HFC_CO2E","BG",2019-01-01,1.81854
"132","MIO_T","HFC_CO2E","CY",2019-01-01,0.34174
"133","MIO_T","HFC_CO2E","CZ",2019-01-01,3.75132
"134","MIO_T","HFC_CO2E","DE",2019-01-01,9.61181
"135","MIO_T","HFC_CO2E","DK",2019-01-01,0.33579
"136","MIO_T","HFC_CO2E","EE",2019-01-01,0.22437
"137","MIO_T","HFC_CO2E","EL",2019-01-01,5.44717
"138","MIO_T","HFC_CO2E","ES",2019-01-01,4.49262
"139","MIO_T","HFC_CO2E","EU27_2020",2019-01-01,81.59836
"140","MIO_T","HFC_CO2E","EU28",2019-01-01,94.10799
"141","MIO_T","HFC_CO2E","EU28_IS_K",2019-01-01,94.39793
"142","MIO_T","HFC_CO2E","FI",2019-01-01,1.13286
"143","MIO_T","HFC_CO2E","FR",2019-01-01,14.15405
"144","MIO_T","HFC_CO2E","HR",2019-01-01,0.5526
"145","MIO_T","HFC_CO2E","HU",2019-01-01,2.13383
"146","MIO_T","HFC_CO2E","IE",2019-01-01,0.81847
"147","MIO_T","HFC_CO2E","IS",2019-01-01,0.20727
"148","MIO_T","HFC_CO2E","IT",2019-01-01,16.80052
"149","MIO_T","HFC_CO2E","LT",2019-01-01,0.56873
"150","MIO_T","HFC_CO2E","LU",2019-01-01,0.06136
"151","MIO_T","HFC_CO2E","LV",2019-01-01,0.25504
"152","MIO_T","HFC_CO2E","MT",2019-01-01,0.25729
"153","MIO_T","HFC_CO2E","NL",2019-01-01,1.81731
"154","MIO_T","HFC_CO2E","PL",2019-01-01,3.74468
"155","MIO_T","HFC_CO2E","PT",2019-01-01,3.37312
"156","MIO_T","HFC_CO2E","RO",2019-01-01,2.256
"157","MIO_T","HFC_CO2E","SE",2019-01-01,0.98894
"158","MIO_T","HFC_CO2E","SI",2019-01-01,0.29579
"159","MIO_T","HFC_CO2E","SK",2019-01-01,0.72074
"160","MIO_T","HFC_CO2E","UK",2019-01-01,12.50963
"161","MIO_T","HFC_PFC_NSP_CO2E","AT",2019-01-01,NA
"162","MIO_T","HFC_PFC_NSP_CO2E","BE",2019-01-01,NA
"163","MIO_T","HFC_PFC_NSP_CO2E","BG",2019-01-01,NA
"164","MIO_T","HFC_PFC_NSP_CO2E","CY",2019-01-01,NA
"165","MIO_T","HFC_PFC_NSP_CO2E","CZ",2019-01-01,NA
"166","MIO_T","HFC_PFC_NSP_CO2E","DE",2019-01-01,0.20392
"167","MIO_T","HFC_PFC_NSP_CO2E","DK",2019-01-01,NA
"168","MIO_T","HFC_PFC_NSP_CO2E","EE",2019-01-01,NA
"169","MIO_T","HFC_PFC_NSP_CO2E","EL",2019-01-01,NA
"170","MIO_T","HFC_PFC_NSP_CO2E","ES",2019-01-01,1.44202
"171","MIO_T","HFC_PFC_NSP_CO2E","EU27_2020",2019-01-01,1.66948
"172","MIO_T","HFC_PFC_NSP_CO2E","EU28",2019-01-01,1.66948
"173","MIO_T","HFC_PFC_NSP_CO2E","EU28_IS_K",2019-01-01,1.66948
"174","MIO_T","HFC_PFC_NSP_CO2E","FI",2019-01-01,NA
"175","MIO_T","HFC_PFC_NSP_CO2E","FR",2019-01-01,NA
"176","MIO_T","HFC_PFC_NSP_CO2E","HR",2019-01-01,NA
"177","MIO_T","HFC_PFC_NSP_CO2E","HU",2019-01-01,NA
"178","MIO_T","HFC_PFC_NSP_CO2E","IE",2019-01-01,NA
"179","MIO_T","HFC_PFC_NSP_CO2E","IS",2019-01-01,NA
"180","MIO_T","HFC_PFC_NSP_CO2E","IT",2019-01-01,0.02354
"181","MIO_T","HFC_PFC_NSP_CO2E","LT",2019-01-01,NA
