"TIME","GEO","UNIT","LANDUSE","Value","Flag and Footnotes"
"2010","Austria","Square kilometre","Total area","83.879,0",""
"2010","Austria","Square kilometre","Land area - Total","82.417,4",""
"2010","Poland","Square kilometre","Total area","312.679,0",""
"2010","Poland","Square kilometre","Land area - Total",":",""
"2010","Portugal","Square kilometre","Total area","92.212,0",""
"2010","Portugal","Square kilometre","Land area - Total",":",""
"2010","Romania","Square kilometre","Total area","238.390,7",""
"2010","Romania","Square kilometre","Land area - Total","230.058,5",""
"2010","Slovenia","Square kilometre","Total area","20.273,0",""
"2010","Slovenia","Square kilometre","Land area - Total","20.138,0",""
"2010","Slovakia","Square kilometre","Total area","49.037,2",""
"2010","Slovakia","Square kilometre","Land area - Total","49.037,2",""
"2010","Finland","Square kilometre","Total area","338.440,5",""
"2010","Finland","Square kilometre","Land area - Total","303.906,7",""
"2010","Sweden","Square kilometre","Total area","441.369,5",""
"2010","Sweden","Square kilometre","Land area - Total","410.335,4",""
"2010","United Kingdom","Square kilometre","Total area","248.527,8",""
"2010","United Kingdom","Square kilometre","Land area - Total","242.509,2",""
"2011","Belgium","Square kilometre","Total area","30.528",""
"2011","Belgium","Square kilometre","Land area - Total","30.326",""
"2011","Bulgaria","Square kilometre","Total area","110.899,7","b"
"2011","Bulgaria","Square kilometre","Land area - Total","108.932,0","b"
"2011","Czechia","Square kilometre","Total area","78.865,4",""
"2011","Czechia","Square kilometre","Land area - Total","77.233,9",""
"2011","Denmark","Square kilometre","Total area","42.959,1",""
"2011","Denmark","Square kilometre","Land area - Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Square kilometre","Total area","357.121,4",""
"2011","Germany (until 1990 former territory of the FRG)","Square kilometre","Land area - Total",":",""
"2011","Estonia","Square kilometre","Total area","45.227,0",""
"2011","Estonia","Square kilometre","Land area - Total","43.432,0",""
"2011","Ireland","Square kilometre","Total area","69.797,0",""
"2011","Ireland","Square kilometre","Land area - Total","68.394,0",""
"2011","Greece","Square kilometre","Total area","132.049,0","b"
"2011","Greece","Square kilometre","Land area - Total",":",""
"2011","Spain","Square kilometre","Total area","505.990,7",""
"2011","Spain","Square kilometre","Land area - Total","501.756,9",""
"2011","France","Square kilometre","Total area","632.833,6",""
"2011","France","Square kilometre","Land area - Total",":",""
"2011","Croatia","Square kilometre","Total area","56.594,0",""
"2011","Croatia","Square kilometre","Land area - Total",":",""
"2011","Italy","Square kilometre","Total area","301.336,0",""
"2011","Italy","Square kilometre","Land area - Total","295.114,0",""
"2011","Cyprus","Square kilometre","Total area","9.251,0",""
"2011","Cyprus","Square kilometre","Land area - Total","9.214,0",""
"2011","Latvia","Square kilometre","Total area","64.562,0",""
"2011","Latvia","Square kilometre","Land area - Total","62.199,0",""
"2011","Lithuania","Square kilometre","Total area","65.300,0",""
"2011","Lithuania","Square kilometre","Land area - Total","62.675,0",""
"2011","Luxembourg","Square kilometre","Total area","2.586,0",""
"2011","Luxembourg","Square kilometre","Land area - Total","2.586,0",""
"2011","Hungary","Square kilometre","Total area","93.026,3",""
"2011","Hungary","Square kilometre","Land area - Total",":",""
"2011","Malta","Square kilometre","Total area","316,0",""
"2011","Malta","Square kilometre","Land area - Total","316,0",""
"2011","Netherlands","Square kilometre","Total area","41.543,1",""
"2011","Netherlands","Square kilometre","Land area - Total","33.756,2",""
"2011","Austria","Square kilometre","Total area","83.879,0",""
"2011","Austria","Square kilometre","Land area - Total","82.417,4",""
"2011","Poland","Square kilometre","Total area","312.679,0",""
"2011","Poland","Square kilometre","Land area - Total",":",""
"2011","Portugal","Square kilometre","Total area","92.212,0",""
