"","geo","time","values"
"214","AL","2014",2892394
"215","AM","2014",3017079
"216","AT","2014",8507786
"217","AZ","2014",9477119
"218","BA","2014",3830911
"219","BE","2014",11180840
"220","BG","2014",7245677
"221","BY","2014",9468154
"222","CH","2014",8139631
"223","CY","2014",858000
"224","CZ","2014",10512419
"225","DE","2014",80767463
"226","DK","2014",5627235
"227","EA18","2014",334820880
"228","EA19","2014",337764352
"229","EE","2014",1315819
"230","EL","2014",10926807
"231","ES","2014",46512199
"232","EU27_2007","2014",502988282
"233","EU27_2020","2014",442883888
"234","EU28","2014",507235091
"235","FI","2014",5451270
"236","FR","2014",66165980
"237","GE","2014",4490498
"238","HR","2014",4246809
"239","HU","2014",9877365
"240","IE","2014",4637852
"241","IS","2014",325671
"242","IT","2014",60782668
"243","LI","2014",37129
"244","LT","2014",2943472
"245","LU","2014",549680
"246","LV","2014",2001468
"247","MD","2014",3557634
"248","ME","2014",621521
"249","MK","2014",2065769
"250","MT","2014",429424
"251","NL","2014",16829289
"252","NO","2014",5107970
"253","PL","2014",38017856
"254","PT","2014",10427301
"255","RO","2014",19947311
"256","RS","2014",7146759
"257","RU","2014",143666931
"258","SE","2014",9644864
"259","SI","2014",2061085
"260","SK","2014",5415949
"261","SM","2014",32520
"262","TR","2014",76667864
"263","UA","2014",45245894
"264","UK","2014",64351203
"265","XK","2014",1820631
"266","AL","2015",2885796
"267","AM","2015",3010598
"268","AT","2015",8584926
"269","AZ","2015",9593038
"270","BA","2015",3825334
"271","BE","2015",11237274
"272","BG","2015",7202198
"273","BY","2015",9480868
"274","CH","2015",8237666
"275","CY","2015",847008
"276","CZ","2015",10538275
"277","DE","2015",81197537
"278","DK","2015",5659715
"279","EA18","2015",335640859
"280","EA19","2015",338562121
"281","EE","2015",1314870
"282","EL","2015",10858018
"283","ES","2015",46449565
"284","EU27_2007","2015",504294889
"285","EU27_2020","2015",443666812
"286","EU28","2015",508520205
"287","FI","2015",5471753
"288","FR","2015",66458153
"289","GE","2015",3729500
"290","HR","2015",4225316
"291","HU","2015",9855571
"292","IE","2015",4677627
"293","IS","2015",329100
"294","IT","2015",60795612
"295","LI","2015",37366
"296","LT","2015",2921262
"297","LU","2015",562958
"298","LV","2015",1986096
"299","MC","2015",37700
